,Gene.1,log2fc,pvals_stud,p-values-corr,log10_p,log10_p-corr,marker_symbol,entrez,path,significant
10952,Gng7,-0.03162621951219435,0.3823043705960871,0.4865995879898317,0.4175907369929695,0.3128282631278028,Gng7,14708,path:mmu04014,False
10971,Gng8,-0.17792073170731548,5.501757692647605e-07,4.597326613604682e-06,6.259498540639057,5.337494641029457,Gng8,14709,path:mmu04014,False
10989,Gngt1,-0.020473780487805016,0.6654607723629894,0.7464852794526521,0.17687754026205127,0.1269787520588731,Gngt1,14699,path:mmu04014,False
11008,Gngt2,0.026139634146343127,0.6145930114889993,0.7034459509284635,0.2114123823956512,0.15276926584156822,Gngt2,14710,path:mmu04014,False
11026,Gnl2,0.1373847560975623,0.00031690003547620726,0.0012244757166205956,3.4990777121914602,2.9120498232319987,Gnl2,230737,path:mmu03008,False
11027,Gnl3,0.045676219512191814,0.2935302276038666,0.3959983021149476,0.5323471686732798,0.4023066761545128,Gnl3,30877,path:mmu03008,False
11028,Gnl3l,0.0305847560975554,0.5017293069533673,0.6025995279057632,0.2995305302730403,0.21997121290162994,Gnl3l,237107,path:mmu03008,False
11029,Gnmt,0.02808597560975734,0.4274055307339379,0.5314560046429492,0.3691598622569072,0.2745326817176114,Gnmt,14711,path:mmu00260,False
11030,Gnpat,0.003677134146345296,0.8631387089886345,0.9021844763411602,0.06391940624576803,0.04470464996871766,Gnpat,14712,path:mmu00564,False
11032,Gnpda1,-0.16943414634146414,7.076669141565107e-07,5.744203371973014e-06,6.150171108669365,5.240770192414415,Gnpda1,26384,path:mmu00520,False
11034,Gnpda2,-0.04326707317073186,0.22102557410642013,0.31490584863244137,0.6555574726917467,0.5018192732942014,Gnpda2,67980,path:mmu00520,False
11036,Gnpnat1,-0.06761006097560696,0.025542142659306388,0.05290387829310899,1.592742673788271,1.2765124894098507,Gnpnat1,54342,path:mmu00520,False
11037,Gnptab,-0.1146109756097502,0.08684347172248957,0.14703995076462156,1.0612628231749872,0.8325646513786437,Gnptab,432486,path:mmu04142,False
11038,Gnptg,-0.0369969512195123,0.06400461537996778,0.11455252269029476,1.1937887078632976,0.9409953422806869,Gnptg,214505,path:mmu04142,False
11039,Gnrh1,0.2324829268292694,1.0176402015205196e-08,1.32262939286908e-07,7.992405744705037,6.878561830173541,Gnrh1,14714,path:mmu04080,False
11041,Gnrhr,-0.1287317073170744,2.851266550878965e-05,0.00014879876945134369,4.5449621807386915,3.8274006603405497,Gnrhr,14715,path:mmu04080,False
11043,Gns,-0.04783109756097659,0.17607826645611632,0.2630938048645581,0.7542942461944229,0.5798893782343804,Gns,75612,path:mmu00531,False
11046,Gorab,-0.05315304878048988,0.1800882514621102,0.2678446271149905,0.7445146186163593,0.572117061024238,Gorab,98376,path:mmu04115,False
11047,Gosr1,-0.027911585365853142,0.1806042460266518,0.2684448849853845,0.7432720435891349,0.5711448667753792,Gosr1,53334,path:mmu04130,False
11048,Gosr2,-0.18857621951219092,8.097030599718105e-05,0.0003715038099282304,4.091674219466118,3.4300367280075177,Gosr2,56494,path:mmu04130,False
11049,Got1,0.14929695121951347,0.12782183574490688,0.2020260429598293,0.8933949495150625,0.6945926425102338,Got1,14718,path:mmu00220,False
11060,Got2,-0.028166056910572838,0.19765018360314487,0.28850135430006474,0.7041027778917384,0.5398521438127057,Got2,14719,path:mmu00220,False
11072,Gp1ba,-0.11777195121951235,0.004692734257567375,0.01259722799532624,2.3285740385298443,1.8997250103410537,Gp1ba,14723,path:mmu04512,False
11075,Gp1bb,0.07639329268292537,0.0345118356381484,0.06816516790221351,1.4620319405544404,1.1664374912118145,Gp1bb,14724,path:mmu04512,False
11078,Gp5,-0.11548902439024199,0.002355703357444531,0.0069848971767791064,2.6278793990870097,2.1558399826616284,Gp5,14729,path:mmu04512,False
11081,Gp9,-0.11847256097560965,0.00430789638394394,0.011715396381045705,2.3657347511545948,1.93124301281276,Gp9,54368,path:mmu04512,False
11084,Gpaa1,0.011495731707315215,0.6876590667521696,0.7650611076645712,0.16262682648354604,0.11630387509261185,Gpaa1,14731,path:mmu00563,False
11086,Gpam,-0.17108109756097534,0.009237880422514015,0.02256001778610821,2.034427663671896,1.6466605622948298,Gpam,14732,path:mmu00561,False
11089,Gpat2,-0.10414999999999974,0.020394605113953572,0.04379594079560715,1.6904846991966644,1.358566139992761,Gpat2,215456,path:mmu00561,False
11092,Gpc1,-0.5323237804878039,1.8282897553605214e-09,2.9203150554716165e-08,8.737954974257612,7.534570292568077,Gpc1,14733,path:mmu05205,True
11094,Gpc3,0.01824695121951514,0.5942096958486884,0.6858681983853735,0.2260602659971345,0.16375933358405004,Gpc3,14734,path:mmu05205,False
11095,Gpc4,-0.03218109756097398,0.3764379945236105,0.4812294872837136,0.4243065489557501,0.3176477691704162,Gpc4,14735,path:mmu04310,False
11096,Gpd1,0.11160548780488001,0.025326749375895862,0.052517528264262696,1.5964205472289212,1.2796957221570489,Gpd1,14555,path:mmu00564,False
11097,Gpd1l,0.0013923780487754556,0.9577004510385836,0.9698260527051049,0.018770308044631263,0.013306153491177544,Gpd1l,333433,path:mmu00564,False
11098,Gpd2,-0.019648780487807826,0.7597779974384572,0.8227411512630785,0.11931328741913153,0.08473677992788556,Gpd2,14571,path:mmu00564,False
11099,Gphn,0.11098597560975597,8.395758739059814e-05,0.00038319688977293283,4.075940049818135,3.41657802454113,Gphn,268566,path:mmu00790,False
11102,Gpi1,0.04944390243902319,0.1941971732990106,0.2844690244857035,0.71175709589854,0.545965016535413,Gpi1,14751,path:mmu00010,False
11108,Gpld1,0.05893536585365844,0.20002594330889512,0.29134590568672697,0.6989136728100279,0.5355910807149183,Gpld1,14756,path:mmu00563,False
11110,Gpr119,-0.05842987804878064,0.08359357777643997,0.14243197586801148,1.077827086716379,0.8463925009792831,Gpr119,236781,path:mmu04024,False
11112,Gpr156,-0.04015731707317016,0.321187342488782,0.42570873031701795,0.4932415779499917,0.3708874433402981,Gpr156,239845,path:mmu04080,False
11113,Gpr161,-0.1869048780487832,1.4385712537568143e-06,1.0772017601433484e-05,5.8420686222359315,4.9677029456245085,Gpr161,240888,path:mmu04340,False
11114,Gpr35,-0.03493170731707273,0.2633073028054493,0.36283000995722015,0.5795370956067041,0.4402967992860974,Gpr35,64095,path:mmu04080,False
11115,Gpr37,0.14257195121951316,0.0006920562786112424,0.0024115039226000573,3.1598585869067057,2.617712027309516,Gpr37,14763,path:mmu05012,False
11116,Gpr50,-0.03230182926829439,0.4512676366721304,0.5548898409985238,0.34556581143596543,0.2557932262376818,Gpr50,14765,path:mmu04080,False
11117,Gpr83,-0.048126219512197636,0.1892066814126723,0.2785978750182548,0.7230635315207972,0.5550222004438774,Gpr83,14608,path:mmu04080,False
11118,Gprc6a,-0.05046280487804911,0.21098403426494985,0.30358065160956704,0.675750407702194,0.5177259111921303,Gprc6a,210198,path:mmu04621,False
11119,Gps2,0.0034256097560927397,0.8880746683336146,0.9207117602708548,0.05155051768765295,0.035876309560452374,Gps2,56310,path:mmu05166,False
11120,Gpsm1,-0.0020957317073166948,0.9548565062350559,0.967766779770344,0.02006188834569496,0.014229289863317745,Gpsm1,67839,path:mmu05030,False
11121,Gpt,-0.19525243902439016,1.2591256629322228e-05,7.254092044887884e-05,4.899930924384092,4.139416938094807,Gpt,76282,path:mmu00220,False
11127,Gpt2,-0.1119707317073182,0.048134576389244406,0.09022392269372063,1.317542845862384,1.044678294870735,Gpt2,108682,path:mmu00220,False
11133,Gpx1,-0.15464939024388968,1.383937344254414e-09,2.280624295229821e-08,8.85888357148369,7.641946253499158,Gpx1,14775,path:mmu00480,False
11138,Gpx2,0.4479621951219493,1.8163027296388413e-08,2.2217910421100335e-07,7.7408117643752625,6.653296788566115,Gpx2,14776,path:mmu00480,False
11141,Gpx3,-0.3717847560975587,0.0001961339901165369,0.0008083400668543947,3.707447136363472,3.0924058940673254,Gpx3,14778,path:mmu00480,False
11144,Gpx4,-0.05722469512194728,0.17583407570932594,0.26278829863881803,0.7548969571435825,0.5803939768205204,Gpx4,625249,path:mmu00480,False
